#Parameters: alpha = 1, beta = ?, sigma = 1, kappa = 0.5, delta_P = 0.1, delta_F = 0.1, K = 1000, P0 = 50, F0 = 50, Ts = 10
#beta	Ncrit
#---------------------------------
1	384
1	384
1	385
1	386
1	383
1	384
1	386
1	384
1	385
1	386
1	383
1	387
1	385
1	387
1	385
1	384
1	383
1	381
1	386
1	387
1	387
1	384
1	385
1	386
1	385
2	151
2	152
2	151
2	152
2	151
2	151
2	151
2	151
2	152
2	152
2	151
2	152
2	152
2	152
2	151
2	151
2	151
2	152
2	151
2	150
2	152
2	151
2	152
2	151
2	151
3	145
3	145
3	146
3	145
3	144
3	145
3	145
3	145
3	145
3	145
3	145
3	145
3	145
3	146
3	146
3	145
3	144
3	145
3	145
3	145
3	145
3	145
3	146
3	145
3	146
4	178
4	178
4	177
4	176
4	178
4	178
4	179
4	178
4	178
4	178
4	178
4	178
4	179
4	177
4	179
4	178
4	178
4	178
4	177
4	179
4	177
4	179
4	177
4	179
4	177
5	226
5	224
5	226
5	226
5	226
5	225
5	225
5	226
5	225
5	227
5	226
5	226
5	224
5	226
5	226
5	225
5	226
5	226
5	225
5	224
5	223
5	227
5	227
5	225
5	225
10	443
10	440
10	447
10	445
10	442
10	448
10	444
10	441
10	446
10	452
10	441
10	441
10	445
10	441
10	444
10	452
10	444
10	440
10	441
10	439
10	452
10	447
10	441
10	436
10	444
100	640
100	650
100	642
100	639
100	635
100	644
100	644
100	641
100	632
100	640
100	651
100	646
100	638
100	648
100	636
100	644
100	645
100	642
100	640
100	642
100	635
100	644
100	639
100	645
100	638
