#Parameters: alpha = 1, beta = ?, sigma = ?, kappa = 0.5, delta_P = 0.1, delta_F = 0.1, K = 1000, P0 = 50, F0 = 50, Ts = 10
beta	sigma	Ncrit
-----------------------------------------------------
1	1	385
1	1.2	317
1	1.4	269
1	1.6	236
1	1.8	212
1	2	192
1	2.2	177
1	2.4	164
1	2.6	155
1	2.8	149
1	3	141
1.1	1	319
1.1	1.2	263
1.1	1.4	226
1.1	1.6	198
1.1	1.8	177
1.1	2	160
1.1	2.2	147
1.1	2.4	137
1.1	2.6	128
1.1	2.8	122
1.1	3	117
1.2	1	274
1.2	1.2	227
1.2	1.4	194
1.2	1.6	171
1.2	1.8	151
1.2	2	137
1.2	2.2	125
1.2	2.4	116
1.2	2.6	109
1.2	2.8	102
1.2	3	99
1.3	1	240
1.3	1.2	200
1.3	1.4	172
1.3	1.6	149
1.3	1.8	132
1.3	2	118
1.3	2.2	108
1.3	2.4	100
1.3	2.6	92
1.3	2.8	87
1.3	3	83
1.4	1	215
1.4	1.2	179
1.4	1.4	153
1.4	1.6	133
1.4	1.8	117
1.4	2	105
1.4	2.2	94
1.4	2.4	88
1.4	2.6	80
1.4	2.8	76
1.4	3	73
1.5	1	198
1.5	1.2	165
1.5	1.4	139
1.5	1.6	121
1.5	1.8	106
1.5	2	93
1.5	2.2	85
1.5	2.4	77
1.5	2.6	71
1.5	2.8	67
1.5	3	63
1.6	1	183
1.6	1.2	152
1.6	1.4	128
1.6	1.6	110
1.6	1.8	95
1.6	2	84
1.6	2.2	75
1.6	2.4	68
1.6	2.6	63
1.6	2.8	59
1.6	3	56
1.7	1	172
1.7	1.2	142
1.7	1.4	119
1.7	1.6	102
1.7	1.8	88
1.7	2	77
1.7	2.2	68
1.7	2.4	62
1.7	2.6	57
1.7	2.8	53
1.7	3	49
1.8	1	164
1.8	1.2	134
1.8	1.4	112
1.8	1.6	95
1.8	1.8	81
1.8	2	71
1.8	2.2	63
1.8	2.4	56
1.8	2.6	51
1.8	2.8	47
1.8	3	44
1.9	1	157
1.9	1.2	128
1.9	1.4	106
1.9	1.6	89
1.9	1.8	75
1.9	2	66
1.9	2.2	58
1.9	2.4	51
1.9	2.6	46
1.9	2.8	42
1.9	3	40
2	1	151
2	1.2	123
2	1.4	102
2	1.6	84
2	1.8	71
2	2	61
2	2.2	53
2	2.4	48
2	2.6	42
2	2.8	39
2	3	36
2.1	1	148
2.1	1.2	119
2.1	1.4	97
2.1	1.6	80
2.1	1.8	67
2.1	2	58
2.1	2.2	50
2.1	2.4	44
2.1	2.6	39
2.1	2.8	36
2.1	3	32
2.2	1	144
2.2	1.2	116
2.2	1.4	93
2.2	1.6	77
2.2	1.8	65
2.2	2	54
2.2	2.2	47
2.2	2.4	41
2.2	2.6	37
2.2	2.8	32
2.2	3	30
2.3	1	142
2.3	1.2	113
2.3	1.4	92
2.3	1.6	74
2.3	1.8	62
2.3	2	52
2.3	2.2	44
2.3	2.4	39
2.3	2.6	34
2.3	2.8	30
2.3	3	28
2.4	1	141
2.4	1.2	112
2.4	1.4	89
2.4	1.6	72
2.4	1.8	60
2.4	2	49
2.4	2.2	42
2.4	2.4	36
2.4	2.6	32
2.4	2.8	29
2.4	3	25
2.5	1	140
2.5	1.2	111
2.5	1.4	88
2.5	1.6	71
2.5	1.8	58
2.5	2	47
2.5	2.2	40
2.5	2.4	34
2.5	2.6	30
2.5	2.8	26
2.5	3	24
2.6	1	141
2.6	1.2	111
2.6	1.4	87
2.6	1.6	70
2.6	1.8	56
2.6	2	46
2.6	2.2	38
2.6	2.4	33
2.6	2.6	29
2.6	2.8	25
2.6	3	23
2.7	1	141
2.7	1.2	111
2.7	1.4	87
2.7	1.6	69
2.7	1.8	55
2.7	2	45
2.7	2.2	37
2.7	2.4	32
2.7	2.6	27
2.7	2.8	24
2.7	3	22
2.8	1	142
2.8	1.2	111
2.8	1.4	87
2.8	1.6	69
2.8	1.8	55
2.8	2	43
2.8	2.2	36
2.8	2.4	30
2.8	2.6	26
2.8	2.8	23
2.8	3	20
2.9	1	143
2.9	1.2	112
2.9	1.4	87
2.9	1.6	68
2.9	1.8	54
2.9	2	43
2.9	2.2	35
2.9	2.4	29
2.9	2.6	24
2.9	2.8	21
2.9	3	18
3	1	145
3	1.2	113
3	1.4	88
3	1.6	69
3	1.8	54
3	2	43
3	2.2	34
3	2.4	28
3	2.6	24
3	2.8	21
3	3	19
